"model","formula"
"cumVaccPercentage_FirstDose_fixed","cumVaccPercentage_FirstDose ~ Pop_per_km2 + prop_travelling_to_work +      prop_not_in_work + prop_all_other_white + prop_mixed_multiple +      prop_asian + prop_black_afr_car + prop_other + IMD_Average_score +      prop_o65 + prop_u25 + Median_annual_income + Other_proportion +      unringfenced_percapita + ASC_infection_control_fund_percapita +      contain_outbreak_management_percapita + Income_score + Employment_score +      Education_Skills_and_Training_score + Health_Deprivation_and_Disability_score +      Crime_score + Barriers_to_Housing_and_Services_score + Living_Environment_score"
"cumVaccPercentage_SecondDose_fixed","cumVaccPercentage_SecondDose ~ Pop_per_km2 + prop_travelling_to_work +      prop_not_in_work + prop_all_other_white + prop_mixed_multiple +      prop_asian + prop_black_afr_car + prop_other + IMD_Average_score +      prop_o65 + prop_u25 + Median_annual_income + Other_proportion +      unringfenced_percapita + ASC_infection_control_fund_percapita +      contain_outbreak_management_percapita + Income_score + Employment_score +      Education_Skills_and_Training_score + Health_Deprivation_and_Disability_score +      Crime_score + Barriers_to_Housing_and_Services_score + Living_Environment_score"
"cumVaccPercentage_ThirdDose_fixed","cumVaccPercentage_ThirdDose ~ Pop_per_km2 + prop_travelling_to_work +      prop_not_in_work + prop_all_other_white + prop_mixed_multiple +      prop_asian + prop_black_afr_car + prop_other + IMD_Average_score +      prop_o65 + prop_u25 + Median_annual_income + Other_proportion +      unringfenced_percapita + ASC_infection_control_fund_percapita +      contain_outbreak_management_percapita + Income_score + Employment_score +      Education_Skills_and_Training_score + Health_Deprivation_and_Disability_score +      Crime_score + Barriers_to_Housing_and_Services_score + Living_Environment_score"
"d1_v_d2_fixed","d1_v_d2 ~ Pop_per_km2 + prop_travelling_to_work + prop_not_in_work +      prop_all_other_white + prop_mixed_multiple + prop_asian +      prop_black_afr_car + prop_other + IMD_Average_score + prop_o65 +      prop_u25 + Median_annual_income + Other_proportion + unringfenced_percapita +      ASC_infection_control_fund_percapita + contain_outbreak_management_percapita +      Income_score + Employment_score + Education_Skills_and_Training_score +      Health_Deprivation_and_Disability_score + Crime_score + Barriers_to_Housing_and_Services_score +      Living_Environment_score"
"d2_v_d3_fixed","d2_v_d3 ~ Pop_per_km2 + prop_travelling_to_work + prop_not_in_work +      prop_all_other_white + prop_mixed_multiple + prop_asian +      prop_black_afr_car + prop_other + IMD_Average_score + prop_o65 +      prop_u25 + Median_annual_income + Other_proportion + unringfenced_percapita +      ASC_infection_control_fund_percapita + contain_outbreak_management_percapita +      Income_score + Employment_score + Education_Skills_and_Training_score +      Health_Deprivation_and_Disability_score + Crime_score + Barriers_to_Housing_and_Services_score +      Living_Environment_score"
"cumVaccPercentage_FirstDose_random","cumVaccPercentage_FirstDose ~ Pop_per_km2 + prop_travelling_to_work +      prop_not_in_work + prop_all_other_white + prop_mixed_multiple +      prop_asian + prop_black_afr_car + prop_other + IMD_Average_score +      prop_o65 + prop_u25 + Median_annual_income + Other_proportion +      unringfenced_percapita + ASC_infection_control_fund_percapita +      contain_outbreak_management_percapita + Income_score + Employment_score +      Education_Skills_and_Training_score + Health_Deprivation_and_Disability_score +      Crime_score + Barriers_to_Housing_and_Services_score + Living_Environment_score +      (1 | RGN21CD)"
"cumVaccPercentage_SecondDose_random","cumVaccPercentage_SecondDose ~ Pop_per_km2 + prop_travelling_to_work +      prop_not_in_work + prop_all_other_white + prop_mixed_multiple +      prop_asian + prop_black_afr_car + prop_other + IMD_Average_score +      prop_o65 + prop_u25 + Median_annual_income + Other_proportion +      unringfenced_percapita + ASC_infection_control_fund_percapita +      contain_outbreak_management_percapita + Income_score + Employment_score +      Education_Skills_and_Training_score + Health_Deprivation_and_Disability_score +      Crime_score + Barriers_to_Housing_and_Services_score + Living_Environment_score +      (1 | RGN21CD)"
"cumVaccPercentage_ThirdDose_random","cumVaccPercentage_ThirdDose ~ Pop_per_km2 + prop_travelling_to_work +      prop_not_in_work + prop_all_other_white + prop_mixed_multiple +      prop_asian + prop_black_afr_car + prop_other + IMD_Average_score +      prop_o65 + prop_u25 + Median_annual_income + Other_proportion +      unringfenced_percapita + ASC_infection_control_fund_percapita +      contain_outbreak_management_percapita + Income_score + Employment_score +      Education_Skills_and_Training_score + Health_Deprivation_and_Disability_score +      Crime_score + Barriers_to_Housing_and_Services_score + Living_Environment_score +      (1 | RGN21CD)"
"d1_v_d2_random","d1_v_d2 ~ Pop_per_km2 + prop_travelling_to_work + prop_not_in_work +      prop_all_other_white + prop_mixed_multiple + prop_asian +      prop_black_afr_car + prop_other + IMD_Average_score + prop_o65 +      prop_u25 + Median_annual_income + Other_proportion + unringfenced_percapita +      ASC_infection_control_fund_percapita + contain_outbreak_management_percapita +      Income_score + Employment_score + Education_Skills_and_Training_score +      Health_Deprivation_and_Disability_score + Crime_score + Barriers_to_Housing_and_Services_score +      Living_Environment_score + (1 | RGN21CD)"
"d2_v_d3_random","d2_v_d3 ~ Pop_per_km2 + prop_travelling_to_work + prop_not_in_work +      prop_all_other_white + prop_mixed_multiple + prop_asian +      prop_black_afr_car + prop_other + IMD_Average_score + prop_o65 +      prop_u25 + Median_annual_income + Other_proportion + unringfenced_percapita +      ASC_infection_control_fund_percapita + contain_outbreak_management_percapita +      Income_score + Employment_score + Education_Skills_and_Training_score +      Health_Deprivation_and_Disability_score + Crime_score + Barriers_to_Housing_and_Services_score +      Living_Environment_score + (1 | RGN21CD)"
