"","...1","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"1","(Intercept)","(Intercept)",3.74969690828863,-2.36061533240394,9.8600091489812,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"2","Pop_per_km2","Pop_per_km2",8.16273802705358e-05,4.59086580341183e-05,0.00011734610250695,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"3","prop_travelling_to_work","prop_travelling_to_work",-4.92827451896244,-10.9480228668159,1.09147382889099,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"4","prop_not_in_work","prop_not_in_work",-0.847444314392385,-7.0880873670401,5.39319873825533,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"5","prop_all_other_white","prop_all_other_white",3.17269216272137,1.66781230293702,4.67757202250572,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"6","prop_mixed_multiple","prop_mixed_multiple",0.252747630786848,-4.74631127486591,5.2518065364396,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"7","prop_asian","prop_asian",1.99579596636319,1.24087893457163,2.75071299815474,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"8","prop_black_afr_car","prop_black_afr_car",-0.608983067245291,-2.66256546798951,1.44459933349893,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"9","prop_other","prop_other",1.40981726926298,-2.50337385182554,5.3230083903515,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"10","IMD_Average_score","IMD_Average_score",0.0225985128378664,-0.0153886906078882,0.060585716283621,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"11","prop_o65","prop_o65",-3.79065951778232,-7.71847775397427,0.137158718409629,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"12","prop_u25","prop_u25",8.55995551167191,4.85672447972463,12.2631865436192,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"13","Median_annual_income","Median_annual_income",-9.42250719429772e-06,-2.71652089652852e-05,8.32019457668978e-06,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"14","Other_proportion","Other_proportion",0.00736936687860801,-0.00899065575771962,0.0237293895149356,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"15","unringfenced_percapita","unringfenced_percapita",0.0258969391119495,0.0161343498918618,0.0356595283320372,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"16","ASC_infection_control_fund_percapita","ASC_infection_control_fund_percapita",0.00607327695224806,-0.00904198008395079,0.0211885339884469,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"17","contain_outbreak_management_percapita","contain_outbreak_management_percapita",0.00026019507628896,-0.0176056456070755,0.0181260357596534,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"18","Income_score","Income_score",4.94875107736517,-2.88875990887614,12.7862620636065,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"19","Employment_score","Employment_score",-4.78864937898999,-14.8380353153726,5.26073655739263,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"20","Education_Skills_and_Training_score","Education_Skills_and_Training_score",0.00082212031805792,-0.0121595412208364,0.0138037818569522,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"21","Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",0.147199034400976,-0.054546442050759,0.348944510852711,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"22","Crime_score","Crime_score",0.0126957734842649,-0.13692586173738,0.16231740870591,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"23","Barriers_to_Housing_and_Services_score","Barriers_to_Housing_and_Services_score",0.00336285278690626,-0.0089339456826455,0.015659651256458,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"24","Living_Environment_score","Living_Environment_score",0.00850076815496548,0.00056037841105849,0.0164411578988725,224.297525659113,318.032350306819,"First vs Second","Simple","Fixed"
"25","(Intercept)1","(Intercept)",-22.9382575754744,-49.9023099138016,4.02579476285266,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"26","Pop_per_km21","Pop_per_km2",-0.0003475374045325,-0.00050515970890949,-0.0001899151001555,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"27","prop_travelling_to_work1","prop_travelling_to_work",35.9745450803858,9.41014000234345,62.5389501584282,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"28","prop_not_in_work1","prop_not_in_work",30.7890566807317,3.24987058549912,58.3282427759643,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"29","prop_all_other_white1","prop_all_other_white",6.69495211104914,0.0541033780030062,13.3358008440953,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"30","prop_mixed_multiple1","prop_mixed_multiple",-4.771230887783,-26.8314596722817,17.2889978967157,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"31","prop_asian1","prop_asian",23.0239952712792,19.6926397603839,26.3553507821745,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"32","prop_black_afr_car1","prop_black_afr_car",23.9109217630283,14.8487165673641,32.9731269586924,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"33","prop_other1","prop_other",8.17552071912076,-9.0929078067099,25.4439492449514,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"34","IMD_Average_score1","IMD_Average_score",-0.00360417263147622,-0.171237004072822,0.164028658809869,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"35","prop_o651","prop_o65",-32.1541731823671,-49.4871493584113,-14.821197006323,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"36","prop_u251","prop_u25",5.50236519021,-10.839535425171,21.844265805591,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"37","Median_annual_income1","Median_annual_income",-6.59266153369975e-05,-0.00014422296425189,1.23697335779002e-05,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"38","Other_proportion1","Other_proportion",0.0125082317384177,-0.0596865251324938,0.0847029886093292,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"39","unringfenced_percapita1","unringfenced_percapita",0.0447562342523464,0.00167513523175099,0.0878373332729417,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"40","ASC_infection_control_fund_percapita1","ASC_infection_control_fund_percapita",0.0244413883615219,-0.0422603718393835,0.0911431485624274,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"41","contain_outbreak_management_percapita1","contain_outbreak_management_percapita",0.158022358729218,0.0791826130209288,0.236862104437508,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"42","Income_score1","Income_score",12.4306675819313,-22.1552992411441,47.0166344050066,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"43","Employment_score1","Employment_score",15.313019832527,-29.0336776327986,59.6597172978527,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"44","Education_Skills_and_Training_score1","Education_Skills_and_Training_score",0.0922089318301234,0.0349224647258632,0.149495398934384,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"45","Health_Deprivation_and_Disability_score1","Health_Deprivation_and_Disability_score",-1.51446299759682,-2.40474083803804,-0.624185157155607,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"46","Crime_score1","Crime_score",0.550493754483767,-0.10976802006104,1.21075552902857,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"47","Barriers_to_Housing_and_Services_score1","Barriers_to_Housing_and_Services_score",0.0347374874465898,-0.0195267636204346,0.0890017385136143,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"48","Living_Environment_score1","Living_Environment_score",0.0568555196733914,0.021815561614365,0.0918954777324179,1156.58029886913,1250.31512351683,"Second vs Third","Simple","Fixed"
"49","1","(Intercept)",3.71281178179699,-2.45570265131308,9.88132621490707,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"50","2","Pop_per_km2",8.73095061654194e-05,5.12145024882442e-05,0.00012340450984259,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"51","3","prop_travelling_to_work",-4.66282508265423,-10.7212278899137,1.39557772460529,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"52","4","prop_not_in_work",0.015924744435251,-6.34976507349499,6.38161456236549,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"53","5","prop_all_other_white",3.5252111436546,2.0073902544566,5.04303203285259,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"54","6","prop_mixed_multiple",0.530448355707446,-4.43466888171887,5.49556559313377,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"55","7","prop_asian",1.98089620917463,1.22750517475581,2.73428724359346,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"56","8","prop_black_afr_car",-0.415369372789591,-2.47950164439025,1.64876289881107,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"57","9","prop_other",1.22151828597219,-2.72012374717081,5.16316031911519,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"58","10","IMD_Average_score",0.0189699815675759,-0.0189903066212235,0.0569302697563753,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"59","11","prop_o65",-4.32176913490329,-8.34479126226169,-0.29874700754489,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"60","12","prop_u25",8.00781275493605,4.14138018827005,11.874245321602,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"61","13","Median_annual_income",-9.71068784255295e-06,-2.77515339676532e-05,8.33015828254732e-06,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"62","14","Other_proportion",0.00185436597450131,-0.0318110150270026,0.0355197469760052,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"63","15","unringfenced_percapita",0.0252117785912188,0.0154699968674075,0.03495356031503,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"64","16","ASC_infection_control_fund_percapita",0.00565361112139435,-0.00952060315201763,0.0208278253948063,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"65","17","contain_outbreak_management_percapita",-0.00162665619735446,-0.020528619086954,0.0172753066922451,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"66","18","Income_score",4.64546790759245,-3.20725822545868,12.4981940406436,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"67","19","Employment_score",-4.68249472395675,-14.6996958732393,5.3347064253258,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"68","20","Education_Skills_and_Training_score",0.00532606837087193,-0.00802505697633091,0.0186771937180748,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"69","21","Health_Deprivation_and_Disability_score",0.109328483031048,-0.0957585755643513,0.314415541626448,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"70","22","Crime_score",-0.00607927751349254,-0.158647751803201,0.146489196776216,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"71","23","Barriers_to_Housing_and_Services_score",0.00374008734504785,-0.00879727488461564,0.0162774495747114,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"72","24","Living_Environment_score",0.00777465869297395,-0.00051840275635356,0.0160677201423015,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"73","25","(Intercept)",-15.859078594397,-42.7734450166594,11.0552878278654,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"74","26","Pop_per_km2",-0.00030460194805596,-0.00046277695776746,-0.00014642693834445,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
