"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",4.13540079255296,4.09742378942473,4.17337779568119,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"Pop_per_km2","Pop_per_km2",0.213381085111944,0.114120680271655,0.312641489952232,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_travelling_to_work","prop_travelling_to_work",-0.229877532935528,-0.466820643635245,0.00706557776418912,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_not_in_work","prop_not_in_work",-0.0934451031307704,-0.382981071232553,0.196090864971013,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_all_other_white","prop_all_other_white",0.146541800604195,0.0709166727813788,0.222166928427011,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_mixed_multiple","prop_mixed_multiple",-0.00363627797718165,-0.0697868635871495,0.0625143076327862,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_asian","prop_asian",0.162358894369511,0.0999658048962786,0.224751983842743,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_black_afr_car","prop_black_afr_car",-0.0226953718558157,-0.113514322941473,0.0681235792298412,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_other","prop_other",0.04022692542235,-0.0464719006976448,0.126925751542345,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"IMD_Average_score","IMD_Average_score",-0.0164653731081182,-0.598767549355802,0.565836803139565,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_o65","prop_o65",-0.196068383706714,-0.388556706918193,-0.00358006049523546,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"prop_u25","prop_u25",0.319226172679916,0.181133885472896,0.457318459886937,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"Median_annual_income","Median_annual_income",-0.0338095575326605,-0.10352655505294,0.0359074399876188,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"Other_proportion","Other_proportion",0.0222391028496707,-0.0376279494666045,0.0821061551659458,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"unringfenced_percapita","unringfenced_percapita",0.165377861120524,0.099765137674653,0.230990584566395,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"ASC_infection_control_fund_percapita","ASC_infection_control_fund_percapita",0.0232692110054671,-0.0373771391219046,0.0839155611328389,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",0.00679352037542824,-0.0748218409054145,0.088408881656271,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"Income_score","Income_score",0.287017868696767,-0.110091423231632,0.684127160625167,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"Employment_score","Employment_score",-0.0959898991218914,-0.479449170831834,0.287469372588052,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
"Education_Skills_and_Training_score","Education_Skills_and_Training_score",0.0329598102276005,-0.107967391724817,0.173887012180018,221.488432945523,314.331753083258,"First vs Second","Simple","Fixed"
