"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",82.64713375793,82.4711098149174,82.8231577009425,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Pop_per_km2","Pop_per_km2",-0.0494473620126161,-0.50673387348762,0.407839149462388,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_travelling_to_work","prop_travelling_to_work",-0.104428162670633,-1.1357716923108,0.92691536696953,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_not_in_work","prop_not_in_work",-0.878958314993047,-2.14624801659232,0.388331386606223,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_all_other_white","prop_all_other_white",-2.62749096982035,-2.97377989148128,-2.28120204815942,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_mixed_multiple","prop_mixed_multiple",-0.261345942158335,-0.563038475234073,0.0403465909174033,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_asian","prop_asian",-0.463353694080464,-0.753424285967751,-0.173283102193176,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_black_afr_car","prop_black_afr_car",-0.803718100912238,-1.22674651790928,-0.380689683915195,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_other","prop_other",-0.010247210265319,-0.413202778164772,0.392708357634134,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"IMD_Average_score","IMD_Average_score",0.252369974058684,-1.18630907540944,1.69104902352681,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_o65","prop_o65",0.630292120738319,-0.265525578293312,1.52610981976995,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"prop_u25","prop_u25",-1.28899415780672,-1.92967169985682,-0.648316615756621,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Median_annual_income","Median_annual_income",-0.278081486186111,-0.601568627406144,0.0454056550339226,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Other_proportion","Other_proportion",-0.337391607877211,-0.615309727054482,-0.059473488699941,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"unringfenced_percapita","unringfenced_percapita",-0.394355933493726,-0.700787119715637,-0.0879247472718155,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"ASC_infection_control_fund_percapita","ASC_infection_control_fund_percapita",-0.222477400446337,-0.503038065888929,0.058083264996255,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",-0.665880838379211,-1.03876038028081,-0.293001296477617,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Income_score","Income_score",-1.38816612468611,-3.07977199925961,0.303439749887391,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Employment_score","Employment_score",1.35095797395974,-0.30289035852996,3.00480630644943,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Education_Skills_and_Training_score","Education_Skills_and_Training_score",-0.644748065694293,-1.18658164692267,-0.102914484465917,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",-0.365961809165262,-0.978693494074143,0.246769875743619,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Crime_score","Crime_score",-0.302613485335259,-0.667626310491737,0.0623993398212189,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Barriers_to_Housing_and_Services_score","Barriers_to_Housing_and_Services_score",-0.163099927680928,-0.526088292353688,0.199888436991832,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"Living_Environment_score","Living_Environment_score",-0.477598748571693,-0.806185607468677,-0.149011889674709,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"(Intercept)1","(Intercept)",79.3213375796497,79.1411625519394,79.5015126073599,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Pop_per_km21","Pop_per_km2",-0.16871105349458,-0.636781524286487,0.299359417297326,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_travelling_to_work1","prop_travelling_to_work",-0.0139887998253505,-1.06965398861421,1.04167638896351,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_not_in_work1","prop_not_in_work",-0.838143378357731,-2.1353189397885,0.459032183073037,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_all_other_white1","prop_all_other_white",-2.64783127655318,-3.00228655683038,-2.29337599627599,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_mixed_multiple1","prop_mixed_multiple",-0.258852411315976,-0.56765960865856,0.049954786026609,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_asian1","prop_asian",-0.558540936389695,-0.855452118111684,-0.261629754667705,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_black_afr_car1","prop_black_afr_car",-0.725874937577515,-1.15887942236644,-0.292870452788585,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_other1","prop_other",-0.0215117296428682,-0.433969997363338,0.390946538077602,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"IMD_Average_score1","IMD_Average_score",0.108948291848691,-1.36365840680703,1.58155499050442,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_o651","prop_o65",0.762096300505387,-0.15484701972718,1.67903962073795,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"prop_u251","prop_u25",-1.49083717240639,-2.14662349281611,-0.835050851996663,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Median_annual_income1","Median_annual_income",-0.242563826205751,-0.573679603046822,0.0885519506353195,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Other_proportion1","Other_proportion",-0.361672252285895,-0.646144375605931,-0.0772001289658599,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"unringfenced_percapita1","unringfenced_percapita",-0.480581176209841,-0.794238775988077,-0.166923576431606,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"ASC_infection_control_fund_percapita1","ASC_infection_control_fund_percapita",-0.250382581914484,-0.537559569348068,0.0367944055191,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"contain_outbreak_management_percapita1","contain_outbreak_management_percapita",-0.618203382471051,-0.999876356300042,-0.23653040864206,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Income_score1","Income_score",-1.51562813565106,-3.24712630635373,0.215870035051612,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Employment_score1","Employment_score",1.36810366625648,-0.324746545112973,3.06095387762594,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Education_Skills_and_Training_score1","Education_Skills_and_Training_score",-0.613628168455117,-1.16823954030244,-0.0590167966077899,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Health_Deprivation_and_Disability_score1","Health_Deprivation_and_Disability_score",-0.434105106642179,-1.06128653672487,0.193076323440513,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Crime_score1","Crime_score",-0.32055701025183,-0.69417775048531,0.0530637299816492,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Barriers_to_Housing_and_Services_score1","Barriers_to_Housing_and_Services_score",-0.16256346043208,-0.534111998341776,0.208985077477616,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Living_Environment_score1","Living_Environment_score",-0.52128273405634,-0.857618492668262,-0.184946975444417,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"(Intercept)2","(Intercept)",64.3621019107962,64.1376612409334,64.5865425806589,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Pop_per_km22","Pop_per_km2",0.607091725444618,0.0240250744076442,1.19015837648159,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_travelling_to_work2","prop_travelling_to_work",-1.0697850997312,-2.38480752616639,0.24523732670399,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_not_in_work2","prop_not_in_work",-1.67037645345037,-3.28624384438154,-0.054509062519198,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_all_other_white2","prop_all_other_white",-2.43413663462644,-2.87567496295537,-1.9925983062975,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_mixed_multiple2","prop_mixed_multiple",-0.226845353559942,-0.611520716793235,0.15783000967335,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_asian2","prop_asian",-1.71387018073731,-2.08372689929761,-1.34401346217701,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_black_afr_car2","prop_black_afr_car",-1.18458621913316,-1.72397182575502,-0.645200612511299,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_other2","prop_other",-0.0945001219103839,-0.608291689332724,0.419291445511956,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"IMD_Average_score2","IMD_Average_score",0.267945110491606,-1.56645357444815,2.10234379543137,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_o652","prop_o65",1.89795685893163,0.75573767553774,3.04017604232553,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_u252","prop_u25",-1.41204253579528,-2.22894331782977,-0.595141753760797,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Median_annual_income2","Median_annual_income",-0.0628863781890509,-0.475351122614384,0.349578366236282,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Other_proportion2","Other_proportion",-0.368611315571981,-0.722972931200006,-0.0142496999439565,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"unringfenced_percapita2","unringfenced_percapita",-0.558717131979598,-0.949434551016051,-0.167999712943145,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"ASC_infection_control_fund_percapita2","ASC_infection_control_fund_percapita",-0.314375592473534,-0.672106606853693,0.0433554219066238,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"contain_outbreak_management_percapita2","contain_outbreak_management_percapita",-0.957000430954848,-1.43244333224551,-0.481557529664182,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Income_score2","Income_score",-1.37833084017476,-3.53522580079937,0.778564120449853,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Employment_score2","Employment_score",0.226544405999847,-1.88220751287358,2.33529632487328,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Education_Skills_and_Training_score2","Education_Skills_and_Training_score",-1.15081451215178,-1.8416835487371,-0.459945475566453,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Health_Deprivation_and_Disability_score2","Health_Deprivation_and_Disability_score",0.385887655744568,-0.395380548191056,1.16715585968019,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Crime_score2","Crime_score",-0.596635991035484,-1.06204837519492,-0.13122360687605,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Barriers_to_Housing_and_Services_score2","Barriers_to_Housing_and_Services_score",-0.187806846731214,-0.65063792712424,0.275024233661812,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Living_Environment_score2","Living_Environment_score",-0.810065663931789,-1.22903284224161,-0.391098485621969,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"1","(Intercept)",82.6538394432032,82.2683664868388,83.0393123995676,1245.64210088073,1343.12631851434,"First","Simple","Random"
"2","Pop_per_km2",-0.103873415822564,-0.564693847805285,0.356947016160158,1245.64210088073,1343.12631851434,"First","Simple","Random"
"3","prop_travelling_to_work",0.0373615240308053,-1.00001862319023,1.07474167125184,1245.64210088073,1343.12631851434,"First","Simple","Random"
"4","prop_not_in_work",-0.749009114535466,-2.03648990687185,0.538471677800919,1245.64210088073,1343.12631851434,"First","Simple","Random"
"5","prop_all_other_white",-2.61700025643948,-2.96607442229629,-2.26792609058268,1245.64210088073,1343.12631851434,"First","Simple","Random"
"6","prop_mixed_multiple",-0.248774267978187,-0.549220170046408,0.0516716340900342,1245.64210088073,1343.12631851434,"First","Simple","Random"
"7","prop_asian",-0.448479069839904,-0.738325360190183,-0.158632779489625,1245.64210088073,1343.12631851434,"First","Simple","Random"
"8","prop_black_afr_car",-0.812176670510046,-1.23717801989765,-0.38717532112244,1245.64210088073,1343.12631851434,"First","Simple","Random"
"9","prop_other",-0.027070938453336,-0.432654731061027,0.378512854154355,1245.64210088073,1343.12631851434,"First","Simple","Random"
"10","IMD_Average_score",0.257015923629291,-1.18180400440486,1.69583585166344,1245.64210088073,1343.12631851434,"First","Simple","Random"
"11","prop_o65",0.674493296218665,-0.239105824908156,1.58809241734549,1245.64210088073,1343.12631851434,"First","Simple","Random"
"12","prop_u25",-1.26659911819763,-1.92962950983863,-0.603568726556621,1245.64210088073,1343.12631851434,"First","Simple","Random"
"13","Median_annual_income",-0.261039674965581,-0.588886652397308,0.0668073024661459,1245.64210088073,1343.12631851434,"First","Simple","Random"
"14","Other_proportion",-0.288603909129618,-0.754682392588346,0.17747457432911,1245.64210088073,1343.12631851434,"First","Simple","Random"
"15","unringfenced_percapita",-0.375961858227441,-0.682121396113148,-0.0698023203417349,1245.64210088073,1343.12631851434,"First","Simple","Random"
"16","ASC_infection_control_fund_percapita",-0.252281232435717,-0.534097317876953,0.0295348530055187,1245.64210088073,1343.12631851434,"First","Simple","Random"
"17","contain_outbreak_management_percapita",-0.549458153760886,-0.93874642827754,-0.160169879244232,1245.64210088073,1343.12631851434,"First","Simple","Random"
"18","Income_score",-1.55296978600404,-3.24874771983411,0.142808147826037,1245.64210088073,1343.12631851434,"First","Simple","Random"
"19","Employment_score",1.43318169627637,-0.217913198008727,3.08427659056146,1245.64210088073,1343.12631851434,"First","Simple","Random"
"20","Education_Skills_and_Training_score",-0.625325283809281,-1.17897522025147,-0.0716753473670901,1245.64210088073,1343.12631851434,"First","Simple","Random"
"21","Health_Deprivation_and_Disability_score",-0.333373172462472,-0.953699259687688,0.286952914762744,1245.64210088073,1343.12631851434,"First","Simple","Random"
"22","Crime_score",-0.335055425157114,-0.706205107896692,0.0360942575824638,1245.64210088073,1343.12631851434,"First","Simple","Random"
"23","Barriers_to_Housing_and_Services_score",-0.163411366409728,-0.531857168164844,0.205034435345388,1245.64210088073,1343.12631851434,"First","Simple","Random"
"24","Living_Environment_score",-0.447824227055825,-0.787092786001575,-0.108555668110074,1245.64210088073,1343.12631851434,"First","Simple","Random"
"25","(Intercept)",79.3226743917381,78.9326234197011,79.7127253637752,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"26","Pop_per_km2",-0.21748386345632,-0.688858140567973,0.253890413655334,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"27","prop_travelling_to_work",0.0996908459132482,-0.962215554860845,1.16159724668734,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"28","prop_not_in_work",-0.74638674597194,-2.06231305504023,0.569539563096349,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"29","prop_all_other_white",-2.64902678226412,-3.00631196364302,-2.29174160088521,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"30","prop_mixed_multiple",-0.24975285252419,-0.557765826795076,0.0582601217466953,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"31","prop_asian",-0.546135114873725,-0.843093046176443,-0.249177183571006,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"32","prop_black_afr_car",-0.736612943735006,-1.17170414598174,-0.301521741488271,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"33","prop_other",-0.0318998957434628,-0.447031207495219,0.383231416008293,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"34","IMD_Average_score",0.122103046621736,-1.35180631551188,1.59601240875535,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"35","prop_o65",0.812175809552305,-0.121372145952405,1.74572376505701,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"36","prop_u25",-1.46331576957169,-2.1395491970033,-0.787082342140076,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"37","Median_annual_income",-0.225769299288276,-0.560983137325189,0.109444538748637,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"38","Other_proportion",-0.318554552910294,-0.786174486205238,0.149065380384651,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"39","unringfenced_percapita",-0.464397481532522,-0.778079378009296,-0.150715585055748,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"40","ASC_infection_control_fund_percapita",-0.272980989654623,-0.561575335413109,0.0156133561038636,1259.76086309133,1357.24508072494,"Second","Simple","Random"
"41","contain_outbreak_management_percapita",-0.524053004816329,-0.920509560820983,-0.127596448811675,1259.76086309133,1357.24508072494,"Second","Simple","Random"
