"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",4.13430478903395,4.09131449028376,4.17729508778414,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"Pop_per_km2","Pop_per_km2",0.282990390472986,0.20510433893239,0.360876442013582,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"Median_age","Median_age",-0.818466626981101,-0.97691479395579,-0.660018460006413,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"prop_asian","prop_asian",0.281165755430307,0.22461359605075,0.337717914809863,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"Income_score","Income_score",0.367965444506261,0.294170252038202,0.441760636974319,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"unringfenced_percapita","unringfenced_percapita",0.226914580940286,0.165523023383788,0.288306138496785,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"prop_black_afr_car","prop_black_afr_car",0.112944786515846,0.0406654824431302,0.185224090588562,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"prop_o65","prop_o65",0.456990152417419,0.279431470184817,0.63454883465002,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"Crime_score","Crime_score",-0.0187693173206038,-0.0976451904129402,0.0601065557717327,284.706724612573,321.844052667666,"First vs Second","Stability Lasso","Fixed"
"(Intercept)1","(Intercept)",19.3128199059811,19.1336712606124,19.4919685513499,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"Pop_per_km21","Pop_per_km2",-0.941564998366487,-1.26613079651781,-0.616999200215168,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"Median_age1","Median_age",0.103897202736446,-0.556386054182138,0.764180459655031,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"prop_asian1","prop_asian",2.0387991163567,1.80313565180632,2.27446258090708,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"Income_score1","Income_score",1.64838906073261,1.34087064030476,1.95590748116045,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"unringfenced_percapita1","unringfenced_percapita",0.406655561481181,0.150825416237628,0.662485706724734,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"prop_black_afr_car1","prop_black_afr_car",1.17028304402564,0.869081615115673,1.47148447293561,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"prop_o651","prop_o65",-1.84271624935158,-2.58263661092599,-1.10279588777717,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"Crime_score1","Crime_score",0.444976470254387,0.116285899879884,0.773667040628889,1149.61501453211,1186.7523425872,"Second vs Third","Stability Lasso","Fixed"
"1","(Intercept)",4.13310578780113,4.05230970139524,4.21390187420702,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"2","Pop_per_km2",0.281546524554325,0.201471763823319,0.36162128528533,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"3","Median_age",-0.834099145095886,-0.993596325687898,-0.674601964503873,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"4","prop_asian",0.280591156376034,0.224368276945882,0.336814035806185,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"5","Income_score",0.373667186911472,0.29449782864766,0.452836545175283,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"6","unringfenced_percapita",0.220482028454051,0.15967922496543,0.281284831942673,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"7","prop_black_afr_car",0.113608120089011,0.0393177748727909,0.187898465305232,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"8","prop_o65",0.46270689111166,0.284291590819535,0.641122191403784,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"9","Crime_score",-0.0350092431272617,-0.116209329937358,0.0461908436828344,329.027141821434,369.878202682037,"First vs Second","Stability Lasso","Random"
"10","(Intercept)",19.2198638975356,18.7280976708903,19.7116301241809,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"11","Pop_per_km2",-0.894463899932683,-1.23272225943975,-0.556205540425615,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"12","Median_age",0.0611355685719776,-0.59887549778221,0.721146634926166,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"13","prop_asian",2.01493415996186,1.78334819790171,2.24652012202201,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"14","Income_score",1.64642136865987,1.31046293966947,1.98237979765028,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"15","unringfenced_percapita",0.374228220335991,0.125136931785869,0.623319508886114,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"16","prop_black_afr_car",1.15180313578091,0.83797790066254,1.46562837089928,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"17","prop_o65",-1.78481443496842,-2.52104618888611,-1.04858268105073,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
"18","Crime_score",0.453980244824499,0.116936116985885,0.791024372663114,1161.89459111955,1202.74565198016,"Second vs Third","Stability Lasso","Random"
