"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",6.55590270318605,5.82051691558648,7.29128849078562,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"Pop_per_km2","Pop_per_km2",0.000114201291385384,8.67848793017155e-05,0.000141617703469053,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"Median_age","Median_age",-0.148882441325524,-0.178305015909548,-0.1194598667415,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"prop_asian","prop_asian",3.57087360565698,2.90940682811458,4.23234038319939,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"Income_score","Income_score",-2.90570396342234,-7.36405416559414,1.55264623874945,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"unringfenced_percapita","unringfenced_percapita",0.0325117700753759,0.0236767950752101,0.0413467450755417,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"prop_black_afr_car","prop_black_afr_car",2.39366970799765,0.819757681063493,3.9675817349318,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"IMD_Average_score","IMD_Average_score",0.0657628669703721,0.0406618515576287,0.0908638823831156,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"prop_o65","prop_o65",7.99858406905341,4.49307680328444,11.5040913348224,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"Crime_score","Crime_score",-0.0885807057027904,-0.233738520423308,0.0565771090177275,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"(Intercept)1","(Intercept)",18.5200625210229,15.3619815068138,21.6781435352319,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"Pop_per_km21","Pop_per_km2",-0.000325485150609973,-0.00044322369266392,-0.000207746608556027,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"Median_age1","Median_age",0.043701270426551,-0.0826526457760716,0.170055186629174,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"prop_asian1","prop_asian",25.4170350745335,22.5763959067499,28.2576742423171,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"Income_score1","Income_score",8.69427750691448,-10.4519058509839,27.8404608648128,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"unringfenced_percapita1","unringfenced_percapita",0.0582556975966756,0.0203142969338874,0.0961970982594639,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"prop_black_afr_car1","prop_black_afr_car",26.1185190245076,19.3594249896327,32.8776130593826,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"IMD_Average_score1","IMD_Average_score",0.164684853779155,0.0568896780373057,0.272480029521005,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"prop_o651","prop_o65",-42.0537317936033,-57.1079742441319,-26.9994893430746,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"Crime_score1","Crime_score",0.669667459127506,0.0462937871541754,1.29304113110084,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"1","(Intercept)",6.59521529869919,5.85281108639218,7.3376195110062,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"2","Pop_per_km2",0.000112856426073366,8.52037262145381e-05,0.000140509125932194,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"3","Median_age",-0.149670515216265,-0.179234895544519,-0.120106134888012,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"4","prop_asian",3.56016008603289,2.89888564111957,4.2214345309462,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"5","Income_score",-2.81785166567182,-7.30511925782984,1.66941592648621,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"6","unringfenced_percapita",0.0323854939932341,0.0235660837291704,0.0412049042572978,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"7","prop_black_afr_car",2.3771618716788,0.786413525405133,3.96791021795247,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"8","IMD_Average_score",0.0653311032225529,0.0400663262462469,0.0905958801988589,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"9","prop_o65",7.9969044819481,4.4720171727874,11.5217917911088,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"10","Crime_score",-0.0945593178321886,-0.241651534147261,0.0525328984828841,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"11","(Intercept)",18.7520579230779,15.5182669804945,21.9858488656614,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"12","Pop_per_km2",-0.000321093951522114,-0.000442987406868071,-0.000199200496176158,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"13","Median_age",0.0316469999055483,-0.0953813789525019,0.158675378763598,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"14","prop_asian",25.1055969676227,22.2934872116152,27.9177067236302,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"15","Income_score",13.2964201967126,-6.13465201602692,32.7274924094522,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"16","unringfenced_percapita",0.0558526314880949,0.0186607521946033,0.0930445107815864,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"17","prop_black_afr_car",25.6359559668036,18.5947734571534,32.6771384764538,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"18","IMD_Average_score",0.136234650960821,0.0268088896945932,0.24566041222705,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"19","prop_o65",-40.41457366091,-55.5407859006708,-25.2883614211493,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"20","Crime_score",0.713082077388696,0.0768976647345088,1.34926649004288,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
