"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",81.6858688909989,67.3242424894023,96.0474952925956,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"Median_age","Median_age",0.533828816674781,0.280133995557212,0.787523637792349,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"prop_all_other_white","prop_all_other_white",-59.0268487626609,-65.2430624798875,-52.8106350454343,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"prop_black_afr_car","prop_black_afr_car",-30.7875849721105,-38.6935301535647,-22.8816397906563,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"mean_popden","mean_popden",0.00381821257555876,-0.00140414065103205,0.00904056580214957,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"Pop_per_km2","Pop_per_km2",-0.00374345856313418,-0.00889382078166845,0.0014069036554001,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"prop_not_in_work","prop_not_in_work",-5.53934834880102,-17.9669315384851,6.88823484088306,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"prop_asian","prop_asian",-9.09691970251457,-12.4597971641332,-5.73404224089592,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"prop_u25","prop_u25",-8.18274600848687,-30.376579030249,14.0110870132753,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"Crime_score","Crime_score",-0.583632970139374,-1.2351605883977,0.0678946481189492,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"Income_score","Income_score",-20.5771604566623,-44.3397668155121,3.18544590218756,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"Living_Environment_score","Living_Environment_score",-0.0529328479632868,-0.0831463889249609,-0.0227193070016128,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"unringfenced_percapita","unringfenced_percapita",-0.0395809672138898,-0.0831008705693961,0.00393893614161652,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"IMD_Average_score","IMD_Average_score",-0.0136174952279759,-0.1447161485257,0.117481158069749,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"prop_o65","prop_o65",-23.6785585155095,-46.4292372652301,-0.927879765788902,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",-0.097090135811493,-0.169705141817364,-0.0244751298056215,1193.07509521266,1256.8147759731,"First","Lasso","Fixed"
"(Intercept)1","(Intercept)",79.2254933002331,64.6621872924805,93.7887993079857,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"Median_age1","Median_age",0.575861558891518,0.318604114003071,0.833119003779965,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"prop_all_other_white1","prop_all_other_white",-59.9170295593245,-66.2205372569969,-53.613521861652,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"prop_black_afr_car1","prop_black_afr_car",-30.3264351410823,-38.3434031179986,-22.309467164166,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"mean_popden1","mean_popden",0.00585806198973824,0.00056237151620239,0.0111537524632741,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"Pop_per_km21","Pop_per_km2",-0.00579506532946719,-0.0110177538287965,-0.000572376830137918,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"prop_not_in_work1","prop_not_in_work",-5.78893493435875,-18.3910380574459,6.81316818872838,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"prop_asian1","prop_asian",-10.4159144121391,-13.8260165949031,-7.00581222937499,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"prop_u251","prop_u25",-11.5120463367537,-34.0175462531806,10.9934535796732,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"Crime_score1","Crime_score",-0.587744898036845,-1.24842188627429,0.072932090200597,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"Income_score1","Income_score",-24.1155917151687,-48.2118951747284,-0.0192882556088563,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"Living_Environment_score1","Living_Environment_score",-0.0609881324575712,-0.091625960674138,-0.0303503042410044,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"unringfenced_percapita1","unringfenced_percapita",-0.0450630358823103,-0.0891940870788236,-0.00093198468579693,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"IMD_Average_score1","IMD_Average_score",-0.0364620774052197,-0.169401742578989,0.0964775877685501,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"prop_o651","prop_o65",-25.1206854551278,-48.1908508564101,-2.05052005384559,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"contain_outbreak_management_percapita1","contain_outbreak_management_percapita",-0.0958843947195448,-0.169519129647668,-0.0222496597914218,1201.83271949449,1265.57240025493,"Second","Lasso","Fixed"
"(Intercept)2","(Intercept)",67.2397025760088,48.6067462586211,85.8726588933965,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"Median_age2","Median_age",0.425721504712475,0.0965746248503432,0.754868384574606,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"prop_all_other_white2","prop_all_other_white",-56.4766900863544,-64.5416846359795,-48.4116955367293,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"prop_black_afr_car2","prop_black_afr_car",-38.3576887932633,-48.6149623843185,-28.1004152022081,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"mean_popden2","mean_popden",0.00831221866195408,0.00153667132323364,0.0150877660006745,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"Pop_per_km22","Pop_per_km2",-0.00786955019882649,-0.0145516954902542,-0.00118740490739876,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"prop_not_in_work2","prop_not_in_work",0.99085791975272,-15.1328461948691,17.1145620343745,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"prop_asian2","prop_asian",-24.1390192846086,-28.5020591723543,-19.7759793968629,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"prop_u252","prop_u25",-15.7287189557662,-44.5232795191795,13.0658416076472,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
