"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",82.64713375793,82.4721488848329,82.822118631027,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"Pop_per_km2","Pop_per_km2",0.0549882045926691,-0.353361665641805,0.463338074827143,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"Median_age","Median_age",2.70064893457234,1.40641534675407,3.99488252239061,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"prop_all_other_white","prop_all_other_white",-2.81609186629606,-3.11332955490218,-2.51885417768993,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"prop_black_afr_car","prop_black_afr_car",-1.24173879381439,-1.56180951620376,-0.921668071425026,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"prop_not_in_work","prop_not_in_work",-0.293726217953999,-0.817914453123299,0.230462017215301,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"prop_asian","prop_asian",-0.737175944149081,-1.00855737286849,-0.465794515429672,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"prop_u25","prop_u25",-0.293539023592396,-1.10011675253947,0.513038705354676,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"Crime_score","Crime_score",-0.286573694382139,-0.620062936853752,0.0469155480894731,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"Income_score","Income_score",-0.916965264651625,-1.99418635275438,0.160255823451134,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"Living_Environment_score","Living_Environment_score",-0.445452973297549,-0.707410523539099,-0.183495423056,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"unringfenced_percapita","unringfenced_percapita",-0.346011499116627,-0.607974145986513,-0.0840488522467411,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"IMD_Average_score","IMD_Average_score",-0.047936468478037,-1.08767493242264,0.991801995466562,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"prop_o65","prop_o65",-1.07781502265341,-2.16523776299781,0.00960771769100099,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",-0.378147631537053,-0.690000457006826,-0.0662948060672806,1193.24893686501,1253.23922463955,"First","Lasso","Fixed"
"(Intercept)1","(Intercept)",79.3213375796497,79.143108057768,79.4995671015313,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"Pop_per_km21","Pop_per_km2",-0.0544143461728922,-0.470336024682572,0.361507332336788,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"Median_age1","Median_age",2.90491655123056,1.58668469794286,4.22314840451826,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"prop_all_other_white1","prop_all_other_white",-2.84186443310624,-3.14461363758232,-2.53911522863016,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"prop_black_afr_car1","prop_black_afr_car",-1.17470907749286,-1.50071469620789,-0.848703458777836,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"prop_not_in_work1","prop_not_in_work",-0.335256472299273,-0.869164443180848,0.198651498582301,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"prop_asian1","prop_asian",-0.845695691388379,-1.12210919749411,-0.569282185282647,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"prop_u251","prop_u25",-0.412547906506731,-1.23408156508133,0.408985752067872,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"Crime_score1","Crime_score",-0.282268468328911,-0.621941419404101,0.0574044827462795,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"Income_score1","Income_score",-1.06944558497316,-2.16664099446958,0.0277498245232588,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"Living_Environment_score1","Living_Environment_score",-0.507939400995015,-0.774754286799161,-0.241124515190869,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"unringfenced_percapita1","unringfenced_percapita",-0.427766058085175,-0.69458613502165,-0.160945981148701,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"IMD_Average_score1","IMD_Average_score",-0.197196305073117,-1.25621407061471,0.861821460468481,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
"prop_o651","prop_o65",-1.11760195791877,-2.22518818331402,-0.0100157325235162,1204.78695333959,1264.77724111412,"Second","Lasso","Fixed"
