"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",4.13698961452807,4.10587592980399,4.16810329925215,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"Pop_per_km2","Pop_per_km2",7.51458858242765,5.16182150295336,9.86735566190195,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"Median_age","Median_age",-0.216614935913152,-0.358277123128167,-0.0749527486981361,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"prop_all_other_white","prop_all_other_white",0.153914587390701,0.0976251010329576,0.210204073748445,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"prop_asian","prop_asian",0.145764635766626,0.100886798017344,0.190642473515908,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"prop_u25","prop_u25",0.369547776952396,0.244530366239841,0.494565187664951,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"mean_popden","mean_popden",-7.38792607024715,-9.74536937896457,-5.03048276152973,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"residential_percent_change_from_baseline","residential_percent_change_from_baseline",-0.336037593968001,-0.415215232666283,-0.25685995526972,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"Specialised_services","Specialised_services",-0.0518856560380157,-0.0848450741261411,-0.0189262379498904,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"unringfenced_percapita","unringfenced_percapita",1.07217653813027,0.770390656454467,1.37396241980607,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"ASC_rapid_testing","ASC_rapid_testing",-0.547942684972826,-0.773396567083871,-0.322488802861781,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"DWP_winter_grant_percapita","DWP_winter_grant_percapita",-0.507101242851452,-0.66553794296126,-0.348664542741644,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"sales_compensation","sales_compensation",-0.0773525302899434,-0.124532744599925,-0.030172315979962,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"fire_contingency","fire_contingency",-0.130299147862721,-0.214525028087623,-0.046073267637819,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"protect_and_vaccinate","protect_and_vaccinate",0.0495398450573926,0.00690251730466703,0.0921771728101181,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"Income_score","Income_score",0.365918255680743,0.257266976546172,0.474569534815313,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"Education_Skills_and_Training_score","Education_Skills_and_Training_score",-0.266910844686197,-0.348688472499582,-0.185133216872811,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"Living_Environment_score","Living_Environment_score",0.107829985759538,0.0659545498999141,0.149705421619162,97.0739177877354,167.634841092413,"First vs Second","Stepwise","Fixed"
"(Intercept)1","(Intercept)",19.3044044723129,19.1416161778784,19.4671927667473,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"Pop_per_km21","Pop_per_km2",16.7788604392922,4.90852610674973,28.6491947718347,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"prop_travelling_to_work","prop_travelling_to_work",0.127151975294999,-0.162123949538952,0.41642790012895,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"prop_asian1","prop_asian",1.87744651450957,1.64787047209289,2.10702255692626,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"prop_black_afr_car","prop_black_afr_car",1.25309316384047,0.948480215000231,1.55770611268072,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"prop_o65","prop_o65",-2.2126873841429,-2.59894705460406,-1.82642771368174,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"mean_popden1","mean_popden",-17.5810808728492,-29.5423129539881,-5.61984879171023,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"no_jobs","no_jobs",-0.415012825041939,-0.604810182509328,-0.225215467574549,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"residential_percent_change_from_baseline1","residential_percent_change_from_baseline",-0.998278668776797,-1.36213422289994,-0.634423114653656,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",0.632427012933565,0.329237179639562,0.935616846227567,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"Income_score1","Income_score",1.34711182012404,0.726100147485706,1.96812349276237,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",-0.773645922490534,-1.21987686651339,-0.327414978467677,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"Crime_score","Crime_score",0.692355429276367,0.387670447759594,0.997040410793141,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"Living_Environment_score1","Living_Environment_score",0.387553275276742,0.17955036308317,0.595556187470315,1096.02125739714,1151.72724947978,"Second vs Third","Stepwise","Fixed"
"1","(Intercept)",4.14695467971582,4.06832971969245,4.2255796397392,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"2","Pop_per_km2",7.51187595005191,5.12033432581419,9.90341757428963,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"3","prop_all_other_white",0.165529775713908,0.105715959051665,0.225343592376151,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"4","prop_asian",0.136903671006275,0.0907500457851531,0.183057296227396,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"5","prop_u25",0.548813133143201,0.493773175335022,0.603853090951381,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"6","mean_popden",-7.27669264693577,-9.67121118013686,-4.88217411373468,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"7","residential_percent_change_from_baseline",-0.296455711111166,-0.376204524916496,-0.216706897305835,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"8","unringfenced_percapita",0.946097247727734,0.62521902363453,1.26697547182094,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"9","ASC_rapid_testing",-0.580712760853293,-0.808532626020443,-0.352892895686144,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"10","DWP_winter_grant_percapita",-0.431616319171592,-0.59919918118718,-0.264033457156003,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"11","sales_compensation",-0.0751508988129567,-0.120845299357469,-0.0294564982684442,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"12","Income_score",0.3430479834171,0.226247192583059,0.459848774251141,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"13","Education_Skills_and_Training_score",-0.205134782183671,-0.292804084787912,-0.117465479579431,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"14","Living_Environment_score",0.090929076473929,0.045649897801601,0.136208255146257,189.214076620539,248.633801508689,"First vs Second","Stepwise","Random"
"15","(Intercept)",19.2288935655062,18.7247361783889,19.7330509526234,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"16","Median_age",1.36550623462849,0.159848929876735,2.57116353938025,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"17","prop_all_other_white",0.530582733235452,0.246513712016349,0.814651754454556,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"18","prop_asian",1.77877824919748,1.53733064610672,2.02022585228824,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"19","prop_black_afr_car",1.02791491122031,0.729404751433885,1.32642507100673,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"20","prop_o65",-2.6117159948207,-3.39824852531075,-1.82518346433065,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"21","prop_u25",0.992706887867644,0.26816654481544,1.71724723091985,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"22","mean_popden",-0.284143568238056,-0.671981801119292,0.10369466464318,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"23","residential_percent_change_from_baseline",-0.748874989309003,-1.14963217839915,-0.348117800218853,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"24","Core_services_funding",3.57750780137554,1.98245827262113,5.17255733012995,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"25","Primary_care_funding",-3.64927712990246,-5.23400453223742,-2.0645497275675,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"26","contain_outbreak_management_percapita",0.582692342396702,0.230697505998657,0.934687178794747,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"27","Income_score",1.26744069720424,0.65967779589229,1.87520359851618,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"28","Education_Skills_and_Training_score",0.839652595629338,0.375777792280004,1.30352739897867,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
"29","Health_Deprivation_and_Disability_score",-1.03118828716231,-1.5138881471387,-0.548488427185925,1111.62419769108,1174.75765538473,"Second vs Third","Stepwise","Random"
