"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",4.2132873362043,0.65743873720202,7.76913593520657,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Pop_per_km2","Pop_per_km2",0.00276029890107435,0.00184015305637477,0.00368044474577394,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Median_age","Median_age",-0.0765788738412422,-0.122625539817228,-0.0305322078652563,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"prop_travelling_to_work","prop_travelling_to_work",-1.11407575998619,-3.32453664085433,1.09638512088195,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"prop_all_other_white","prop_all_other_white",3.04008016533234,1.87491062434325,4.20524970632143,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"prop_asian","prop_asian",2.00648025160942,1.400684772356,2.61227573086283,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"prop_u25","prop_u25",7.33930678929709,3.23406573641817,11.444547842176,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"mean_popden","mean_popden",-0.00275331088401218,-0.00368471690344473,-0.00182190486457964,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"no_jobs","no_jobs",-0.00341690377951,-0.00756842999998937,0.000734622440969369,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"residential_percent_change_from_baseline","residential_percent_change_from_baseline",-0.182357833472802,-0.22667033043056,-0.138045336515044,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Specialised_services","Specialised_services",-4.76761269485969e-07,-8.20810417292078e-07,-1.32712121679859e-07,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"unringfenced_percapita","unringfenced_percapita",0.159876105034027,0.114459897456886,0.205292312611167,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"ASC_workforce_capacity","ASC_workforce_capacity",0.131018319708733,-0.0432887401715049,0.305325379588971,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"ASC_rapid_testing","ASC_rapid_testing",-53.5375962195254,-75.7819765325905,-31.2932159064603,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"DWP_winter_grant_percapita","DWP_winter_grant_percapita",-0.538241320626915,-0.691849183086153,-0.384633458167676,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
