"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"(Intercept)","(Intercept)",71.8349806491782,62.8922268648357,80.7777344335208,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"Median_age","Median_age",0.642417277300111,0.48328087130965,0.801553683290573,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"prop_all_other_white","prop_all_other_white",-55.9869427606392,-62.2958876582603,-49.6779978630182,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"prop_asian","prop_asian",-8.42975665300266,-11.7360674016905,-5.12344590431478,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"prop_black_afr_car","prop_black_afr_car",-29.9492709962727,-37.6518864151158,-22.2466555774296,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"prop_o65","prop_o65",-26.0159990473476,-48.3132339075355,-3.71876418715972,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"no_jobs","no_jobs",0.0351481141219394,0.0127340674177455,0.0575621608261334,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",-0.144971152091473,-0.23917210594491,-0.0507701982380366,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"omicron_support_fund_percapita","omicron_support_fund_percapita",1.60235939554619,-1.44022584104065,4.64494463213302,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"Income_score","Income_score",-16.9488522208223,-31.9214998300328,-1.97620461161179,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"Living_Environment_score","Living_Environment_score",-0.0507231252794371,-0.0764966816605008,-0.0249495688983734,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"Population","Population",-9.39061285046604e-06,-1.61988998184428e-05,-2.58232588248932e-06,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"prop_travelling_to_work","prop_travelling_to_work",4.00476981286504,-6.84748092361959,14.8570205493497,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"residential_percent_change_from_baseline","residential_percent_change_from_baseline",0.154480459867349,-0.0610284412040118,0.369989360938709,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
"unringfenced_percapita","unringfenced_percapita",-0.329597468477908,-0.577713533911799,-0.0814814030440174,1179.39232122983,1265.62835990572,"First","Stepwise","Fixed"
